,2019,2020,2021,2022,2023,2024,2025
United States,328329953,331449281,331893745,333287557,334914895,336997624,339000000
Alabama,4903185,5024279,5039877,5074296,5097380,5122000,5150000
Alaska,731545,733391,732673,733583,734323,735000,736000
Arizona,7278717,7151502,7276316,7359197,7421401,7500000,7691740
Arkansas,3017804,3011524,3025891,3045637,3058789,3070000,3080000
California,39512223,39538223,39237836,39185605,39142991,39200000,39663800
Colorado,5758736,5773714,5812069,5839926,5877251,5900000,5950000
Connecticut,3565287,3605944,3605597,3612314,3617176,3620000,3630000
Delaware,973764,989948,990837,1003384,1012682,1020000,1030000
District of Columbia,705749,689545,670050,670050,670050,670050,670050
Florida,21477737,21538187,21781128,22244823,22612989,23000000,23839600
Georgia,10617423,10711908,10736059,10799566,10854000,10920000,11000000
Hawaii,1415872,1455271,1452687,1453259,1456000,1460000,1465000
Idaho,1787065,1839106,1855351,1890651,1925211,1950000,1980000
Illinois,12671821,12812508,12671469,12587530,12462500,12400000,12380000
Indiana,6732219,6785528,6819052,6846724,6873000,6880000,6900000
Iowa,3155070,3193079,3179849,3193072,3202000,3210000,3220000
Kansas,2913314,2937880,2934582,2937568,2947000,2950000,2960000
Kentucky,4467673,4505836,4484943,4481774,4465000,4470000,4480000
Louisiana,4648794,4657757,4625470,4623536,4617000,4620000,4630000
Maine,1344212,1362359,1350131,1349367,1358000,1360000,1362000
Maryland,6045680,6177224,6165129,6165129,6177000,6200000,6220000
Massachusetts,6892503,7029917,6961530,6976597,6965000,6970000,6980000
Michigan,9986857,10077331,10042259,10050811,10061000,10080000,10090000
Minnesota,5639632,5706494,5700671,5707406,5710000,5720000,5730000
Mississippi,2976149,2961279,2950140,2949963,2947000,2945000,2943000
Missouri,6137428,6154913,6154930,6150027,6137000,6120000,6100000
Montana,1068778,1084225,1084225,1102667,1106000,1108000,1110000
Nebraska,1934408,1961504,1961504,1979574,1992000,2000000,2010000
Nevada,3080156,3104614,3118364,3156000,3178000,3190000,3200000
New Hampshire,1359711,1377529,1376457,1384505,1389700,1392000,1395000
New Jersey,8882190,9288994,9267130,9267130,9231000,9200000,9170000
New Mexico,2096829,2117522,2115873,2115873,2122000,2130000,2138000
New York,19453561,20201249,19710349,19677151,19505000,19400000,19300000
North Carolina,10488084,10439388,10518646,10600823,10680000,10720000,10800000
North Dakota,762062,779094,774008,779261,782700,785000,787000
Ohio,11689100,11799448,11780017,11775312,11758000,11780000,11800000
Oklahoma,3956971,3959353,3986639,4019801,4032000,4040000,4050000
Oregon,4217737,4237256,4246154,4261545,4281000,4300000,4320000
Pennsylvania,12801989,13002700,12972024,12972024,12961000,12990000,13010000
Rhode Island,1059361,1097379,1093312,1098127,1101000,1103000,1105000
South Carolina,5148714,5118425,5124712,5190705,5203000,5210000,5220000
South Dakota,884659,886667,889152,892717,894500,896000,898000
Tennessee,6833174,6910840,6975218,7008000,7030000,7050000,7070000
Texas,28995881,29145505,29360759,29730311,30029526,30300000,30660000
Utah,3205958,3271616,3303459,3360590,3392100,3420000,3450000
Vermont,623989,643077,645570,647156,648300,649000,650000
Virginia,8535519,8631393,8654542,8673522,8687000,8700000,8720000
Washington,7614893,7705281,7725016,7745260,7768000,7790000,7820000
West Virginia,1792147,1793716,1782959,1782959,1783000,1785000,1787000
Wisconsin,5822434,5897473,5887006,5895900,5901000,5910000,5920000
Wyoming,578759,576851,578803,581381,582500,584000,585000
Puerto Rico,3193694,3193694,3175697,3210058,3211000,3213000,3215000
